Franja_Horaria,Observaciones,Positivos,Prevalencia,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Noche,14620,3292,0.22517099863201095,0.42537377927577563,0.6555068334637643,0.31143091168455556,0.29725812296171034,0.7475698663426489,0.4864053672316384,0.6169876167871436,0.2509208168012119,0.5662790697674419,5510,5818,831,2461
Mañana,14620,2885,0.19733242134062928,0.4221817445861162,0.7029456092404552,0.32533110549000716,0.29812776904387595,0.723050259965338,0.5815083084789092,0.6522792842221237,0.23808172785773607,0.4785909712722298,6824,4911,799,2086
Tarde,14620,2623,0.17941176470588235,0.3898946230748446,0.6916041979105781,0.2902648083739534,0.3019460138104206,0.5501334349980938,0.7219304826206552,0.6360319588093745,0.23403410024560345,0.32688098495212037,8661,3336,1180,1443
Madrugada,14620,2318,0.1585499316005472,0.27440100882723834,0.6676041859394483,0.27256970598379293,0.3302975106253795,0.23468507333908542,0.910339782149244,0.5725124277441648,0.19855226506533136,0.11265389876880985,11199,1103,1774,544
