,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Umbral global 0.55,0.39817184643510056,0.6853491848946648,0.303809579863017,0.3010782416367155,0.5876956287101996,0.6797432540855538,0.6337194413978767,0.23039722749247074,0.3711012311901505,32194.0,15168.0,4584.0,6534.0
Umbral global 0.180,0.3381468478094947,0.6853491848946648,0.303809579863017,0.20363288718929254,0.9962223421478683,0.08542713567839195,0.5408247389131301,0.23039722749247074,0.9300957592339262,4046.0,43316.0,42.0,11076.0
Umbral 0.180 solo Candelaria,0.38471772327626097,0.6853491848946648,0.303809579863017,0.2835280075027709,0.5982191041554237,0.6451374519657109,0.6216782780605673,0.23039722749247074,0.40112859097127224,30555.0,16807.0,4467.0,6651.0
