Anio,Modelo,Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
2023,Regresión Logística,0.5,0.36204325130499626,0.6413393286408391,0.26995682044813196,0.2439545254695057,0.7017163504968383,0.4913585463765054,0.5965374484366719,0.23835749402381703,0.5452397260273972,11628,12037,1651,3884
2023,Random Forest base,0.5499999999999999,0.39806893180151554,0.6865744352774185,0.30469711588335535,0.30076646043032595,0.5884372177055104,0.6800338051975491,0.6342355114515297,0.2295649823354024,0.37085616438356167,16093,7572,2278,3257
2023,Random Forest ajustado,0.5199999999999999,0.4044287079188445,0.6934858537119776,0.3099882136792305,0.2935225974873552,0.6500451671183378,0.6340587365307416,0.6420519518245398,0.22185869817260986,0.4197945205479452,15005,8660,1937,3598
2023,XGBoost,0.5,0.39111016588685665,0.6808314032573384,0.30516857492253857,0.27710389512544265,0.6644986449864498,0.5945489118952039,0.6295237784408269,0.22303138673305511,0.4545547945205479,14070,9595,1857,3678
2024,Regresión Logística,0.5,0.36449383638401195,0.6408117503785006,0.27064166258315325,0.24651045285163897,0.6990865126276196,0.4965607460860024,0.597823629356811,0.23815990302233525,0.5407445355191257,11767,11930,1680,3903
2024,Random Forest base,0.5499999999999999,0.3982741857073408,0.6841173044204547,0.3031586651303143,0.3013887611514761,0.5869604155471968,0.6794530953285226,0.6332067554378598,0.23122719875566727,0.37134562841530055,16101,7596,2306,3277
2024,Random Forest ajustado,0.5199999999999999,0.4071286251937126,0.69320318356525,0.31011025024091665,0.29459351221465757,0.6587855991402471,0.6283495801156265,0.6435675896279368,0.2223172085991529,0.4264002732240437,14890,8807,1905,3678
2024,XGBoost,0.5,0.39635245467076663,0.679280442725356,0.29929008154509207,0.28149710068529255,0.6695325094035465,0.5973751951723847,0.6334538522879656,0.22248409688472748,0.4535177595628415,14156,9541,1845,3738
