,Volumen_Historico_2018_2022,Prevalencia,Score_Medio,Recall,F1
Volumen_Historico_2018_2022,1.0,0.07669172932330827,0.16390977443609023,-0.048890563818507746,-0.12711546592812015
Prevalencia,0.07669172932330827,1.0,0.9413533834586466,0.9108688120648136,0.8837909613345631
Score_Medio,0.16390977443609023,0.9413533834586466,1.0,0.9108688120648136,0.7965401089815339
Recall,-0.048890563818507746,0.9108688120648136,0.9108688120648136,1.0,0.9157261098570354
F1,-0.12711546592812015,0.8837909613345631,0.7965401089815339,0.9157261098570354,1.0
