Metrica,Global,Macro_Localidades
F1,0.40578901871113465,0.3473762910433183
Precision,0.2940629673038839,0.26023742253885684
Recall,0.654434250764526,0.5583275210773949
AUC_ROC,0.6933242182043409,0.6119076280274424
Average_Precision,0.3098375996626644,0.26473016287783346
