,Cambio_Ajustado_Menos_Base
Umbral,-0.030000000000000027
F1,0.00761717227603409
AUC_ROC,0.007975033309676083
Average_Precision,0.006028019799647399
Precision,-0.007015274332831556
Recall,0.06673862205432635
Especificidad,-0.048541024449980985
Balanced_Accuracy,0.00909879880217268
Brier,-0.008308960487966532
Tasa_Predicha_Positiva,0.05200068399452806
TN,-2299.0
FP,2299.0
FN,-742.0
TP,742.0
