Anio,Metodo,Average_Precision,AUC_ROC,Brier
2023,Constante train,0.18955479452054794,0.5,0.15398676567772626
2024,Constante train,0.1906762295081967,0.5,0.15472578580725116
2023,Tasa localidad-franja-dia,0.31012574001645793,0.6946897936054506,0.14326703186425224
2024,Tasa localidad-franja-dia,0.30735980297514937,0.6915421713431433,0.14427185398860862
2023,Random Forest base,0.30469711588335535,0.6865744352774185,0.22956498233540237
2024,Random Forest base,0.3031586651303143,0.6841173044204547,0.23122719875566727
2023,Random Forest ajustado,0.3099882136792305,0.6934858537119776,0.22185869817260986
2024,Random Forest ajustado,0.31011025024091665,0.69320318356525,0.2223172085991529
