Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
0.05,0.10191496267445635,0.5836243350313868,0.06362848745551496,0.05369357045143639,1.0,0.0,0.5,0.07167965984469596,1.0,0,2767,0,157
0.055,0.10191496267445635,0.5836243350313868,0.06362848745551496,0.05369357045143639,1.0,0.0,0.5,0.07167965984469596,1.0,0,2767,0,157
0.060000000000000005,0.10191496267445635,0.5836243350313868,0.06362848745551496,0.05369357045143639,1.0,0.0,0.5,0.07167965984469596,1.0,0,2767,0,157
0.065,0.10191496267445635,0.5836243350313868,0.06362848745551496,0.05369357045143639,1.0,0.0,0.5,0.07167965984469596,1.0,0,2767,0,157
0.07,0.10191496267445635,0.5836243350313868,0.06362848745551496,0.05369357045143639,1.0,0.0,0.5,0.07167965984469596,1.0,0,2767,0,157
0.07500000000000001,0.10208062418725618,0.5836243350313868,0.06362848745551496,0.05378554299417609,1.0,0.0018070112034694614,0.5009035056017347,0.07167965984469596,0.9982900136798906,5,2762,0,157
0.08,0.10288335517693316,0.5836243350313868,0.06362848745551496,0.0542314335060449,1.0,0.010480664980122878,0.5052403324900614,0.07167965984469596,0.9900820793433652,29,2738,0,157
0.085,0.10404241219350563,0.5836243350313868,0.06362848745551496,0.054875917511359666,1.0,0.022768341163715216,0.5113841705818576,0.07167965984469596,0.978454172366621,63,2704,0,157
0.09,0.1050518568082971,0.5836243350313868,0.06362848745551496,0.055437853107344635,1.0,0.03324900614383809,0.5166245030719191,0.07167965984469596,0.9685362517099864,92,2675,0,157
0.095,0.10687542545949626,0.5836243350313868,0.06362848745551496,0.05645451276519238,1.0,0.0516805204192266,0.5258402602096133,0.07167965984469596,0.95109439124487,143,2624,0,157
0.1,0.10868812737971617,0.5836243350313868,0.06362848745551496,0.05746705710102489,1.0,0.06938923021322732,0.5346946151066136,0.07167965984469596,0.9343365253077975,192,2575,0,157
0.10500000000000001,0.10990549527476373,0.5836243350313868,0.06362848745551496,0.05814814814814815,1.0,0.08095410191543187,0.5404770509577159,0.07167965984469596,0.9233926128590971,224,2543,0,157
0.11,0.10999281092739037,0.5836243350313868,0.06362848745551496,0.05828571428571429,0.9745222929936306,0.10661366100469823,0.5405679769991644,0.07167965984469596,0.8977428180574556,295,2472,4,153
0.115,0.11171960569550932,0.5836243350313868,0.06362848745551496,0.0592563903950426,0.9745222929936306,0.1221539573545356,0.5483381251740831,0.07167965984469596,0.8830369357045144,338,2429,4,153
0.12000000000000001,0.11312384473197781,0.5836243350313868,0.06362848745551496,0.060047095761381473,0.9745222929936306,0.13444163353812794,0.5544819632658793,0.07167965984469596,0.8714090287277702,372,2395,4,153
0.125,0.11379050489826677,0.5836243350313868,0.06362848745551496,0.06047256708049659,0.9617834394904459,0.15215034333212865,0.5569668914112873,0.07167965984469596,0.853967168262654,421,2346,6,151
0.13,0.11572815533980582,0.5836243350313868,0.06362848745551496,0.06162117452440033,0.9490445859872612,0.17997831586555837,0.5645114509264098,0.07167965984469596,0.8269493844049247,498,2269,8,149
0.135,0.11523283346487766,0.5836243350313868,0.06362848745551496,0.061421960454354226,0.9299363057324841,0.19371160101192628,0.5618239533722051,0.07167965984469596,0.8129274965800274,536,2231,11,146
0.14,0.11675329868052779,0.5836243350313868,0.06362848745551496,0.06228668941979522,0.9299363057324841,0.20563787495482472,0.5677870903436544,0.07167965984469596,0.801641586867305,569,2198,11,146
0.14500000000000002,0.11894093686354379,0.5836243350313868,0.06362848745551496,0.06353350739773717,0.9299363057324841,0.22226237802674376,0.5760993418796139,0.07167965984469596,0.7859097127222983,615,2152,11,146
0.15000000000000002,0.11833333333333333,0.5836243350313868,0.06362848745551496,0.06330806954971022,0.9044585987261147,0.24069389230213228,0.5725762455141234,0.07167965984469596,0.7670998632010944,666,2101,15,142
0.155,0.1188118811881188,0.5836243350313868,0.06362848745551496,0.06371191135734072,0.8789808917197452,0.26707625587278644,0.5730285737962658,0.07167965984469596,0.740766073871409,739,2028,19,138
0.16,0.11785400175901495,0.5836243350313868,0.06362848745551496,0.06329711856400567,0.8535031847133758,0.28333935670401156,0.5684212707086937,0.07167965984469596,0.7240082079343365,784,1983,23,134
0.165,0.11801801801801802,0.5836243350313868,0.06362848745551496,0.06349975763451285,0.8343949044585988,0.3017708709794001,0.5680828877189994,0.07167965984469596,0.7055403556771546,835,1932,26,131
0.16999999999999998,0.12067352666043031,0.5836243350313868,0.06362848745551496,0.06511862695608278,0.821656050955414,0.33068305023491146,0.5761695505951627,0.07167965984469596,0.6774965800273598,915,1852,28,129
0.175,0.12218963831867058,0.5836243350313868,0.06362848745551496,0.06617257808364214,0.7961783439490446,0.36248644741597397,0.5793323956825093,0.07167965984469596,0.646032831737346,1003,1764,32,125
0.18,0.12232096184004182,0.5836243350313868,0.06362848745551496,0.06662870159453303,0.7452229299363057,0.4076617275027105,0.5764423287195081,0.07167965984469596,0.600547195622435,1128,1639,40,117
0.185,0.11890072910824454,0.5836243350313868,0.06362848745551496,0.06519065190651907,0.6751592356687898,0.4506685941452837,0.5629139149070368,0.07167965984469596,0.5560875512995896,1247,1520,51,106
0.19,0.11938461538461538,0.5836243350313868,0.06362848745551496,0.06607629427792916,0.6178343949044586,0.5045175280086737,0.5611759614565661,0.07167965984469596,0.5020519835841313,1396,1371,60,97
0.195,0.11829436038514443,0.5836243350313868,0.06362848745551496,0.06630686198920586,0.5477707006369427,0.5623418865196964,0.5550562935783195,0.07167965984469596,0.4435704514363885,1556,1211,71,86
0.2,0.11650485436893204,0.5836243350313868,0.06362848745551496,0.06598984771573604,0.4968152866242038,0.601011926273943,0.5489136064490734,0.07167965984469596,0.4042407660738714,1663,1104,79,78
0.20500000000000002,0.1132404181184669,0.5836243350313868,0.06362848745551496,0.06559031281533804,0.4140127388535032,0.6653415251174557,0.5396771319854794,0.07167965984469596,0.3389192886456908,1841,926,92,65
0.21000000000000002,0.11198428290766209,0.5836243350313868,0.06362848745551496,0.06620209059233449,0.3630573248407643,0.7094325984821106,0.5362449616614374,0.07167965984469596,0.29445964432284544,1963,804,100,57
0.21500000000000002,0.10810810810810811,0.5836243350313868,0.06362848745551496,0.06566347469220246,0.3057324840764331,0.7531622696060716,0.5294473768412523,0.07167965984469596,0.25,2084,683,109,48
0.22000000000000003,0.10012836970474968,0.5836243350313868,0.06362848745551496,0.06270096463022508,0.2484076433121019,0.7893024936754608,0.5188550684937814,0.07167965984469596,0.21272229822161423,2184,583,118,39
0.22500000000000003,0.1,0.5836243350313868,0.06362848745551496,0.06394316163410302,0.22929936305732485,0.8095410191543188,0.5194201911058218,0.07167965984469596,0.19254445964432285,2240,527,121,36
0.22999999999999998,0.08992248062015504,0.5836243350313868,0.06362848745551496,0.05942622950819672,0.18471337579617833,0.8341163715215034,0.5094148736588409,0.07167965984469596,0.16689466484268126,2308,459,128,29
0.235,0.08196721311475409,0.5836243350313868,0.06362848745551496,0.05518763796909492,0.1592356687898089,0.845319840983014,0.5022777548864115,0.07167965984469596,0.15492476060191518,2339,428,132,25
0.24,0.08205128205128205,0.5836243350313868,0.06362848745551496,0.056074766355140186,0.15286624203821655,0.8539934947596675,0.503429868398942,0.07167965984469596,0.146374829001368,2363,404,133,24
0.245,0.0743362831858407,0.5836243350313868,0.06362848745551496,0.051470588235294115,0.1337579617834395,0.8601373328514637,0.49694764731745156,0.07167965984469596,0.13953488372093023,2380,387,136,21
0.25,0.07749077490774908,0.5836243350313868,0.06362848745551496,0.05454545454545454,0.1337579617834395,0.8684495843874233,0.5011037730854314,0.07167965984469596,0.13166894664842682,2403,364,136,21
0.255,0.07532956685499058,0.5836243350313868,0.06362848745551496,0.053475935828877004,0.12738853503184713,0.8720636067943621,0.4997260709131046,0.07167965984469596,0.12790697674418605,2413,354,137,20
0.26,0.07307692307692308,0.5836243350313868,0.06362848745551496,0.05234159779614325,0.12101910828025478,0.8756776292013011,0.4983483687407779,0.07167965984469596,0.12414500683994528,2423,344,138,19
0.265,0.07114624505928854,0.5836243350313868,0.06362848745551496,0.05157593123209169,0.11464968152866242,0.8803758583303216,0.497512769929492,0.07167965984469596,0.11935704514363885,2436,331,139,18
0.27,0.07214428857715431,0.5836243350313868,0.06362848745551496,0.05263157894736842,0.11464968152866242,0.8829056740151789,0.49877767777192067,0.07167965984469596,0.11696306429548564,2443,324,139,18
0.275,0.06504065040650407,0.5836243350313868,0.06362848745551496,0.04776119402985075,0.10191082802547771,0.8847126852186483,0.493311756622063,0.07167965984469596,0.11456908344733242,2448,319,141,16
0.28,0.06276150627615062,0.5836243350313868,0.06362848745551496,0.04672897196261682,0.09554140127388536,0.889410914347669,0.49247615781077714,0.07167965984469596,0.10978112175102599,2461,306,142,15
0.28500000000000003,0.05639913232104121,0.5836243350313868,0.06362848745551496,0.04276315789473684,0.08280254777070063,0.8948319479580773,0.48881724786438896,0.07167965984469596,0.1039671682626539,2476,291,144,13
0.29,0.05517241379310345,0.5836243350313868,0.06362848745551496,0.04316546762589928,0.07643312101910828,0.9038670039754246,0.49015006249726645,0.07167965984469596,0.09507523939808482,2501,266,145,12
0.295,0.05741626794258373,0.5836243350313868,0.06362848745551496,0.04597701149425287,0.07643312101910828,0.9100108420672208,0.49322198154316454,0.07167965984469596,0.08926128590971272,2518,249,145,12
0.3,0.05089058524173028,0.5836243350313868,0.06362848745551496,0.0423728813559322,0.06369426751592357,0.9183230936031803,0.49100868055955194,0.07167965984469596,0.08071135430916553,2541,226,147,10
0.305,0.05434782608695652,0.5836243350313868,0.06362848745551496,0.04739336492890995,0.06369426751592357,0.9273581496205276,0.4955262085682256,0.07167965984469596,0.07216142270861833,2566,201,147,10
0.31,0.048484848484848485,0.5836243350313868,0.06362848745551496,0.046242774566473986,0.050955414012738856,0.9403686302855078,0.4956620221491233,0.07167965984469596,0.059165526675786596,2602,165,149,8
0.315,0.04081632653061224,0.5836243350313868,0.06362848745551496,0.043795620437956206,0.03821656050955414,0.9526563064691002,0.49543643348932714,0.07167965984469596,0.046853625170998635,2636,131,151,6
0.32,0.045112781954887216,0.5836243350313868,0.06362848745551496,0.05504587155963303,0.03821656050955414,0.9627755692085291,0.5004960648590416,0.07167965984469596,0.037277701778385776,2664,103,151,6
0.325,0.01652892561983471,0.5836243350313868,0.06362848745551496,0.023529411764705882,0.012738853503184714,0.970003614022407,0.49137123376279584,0.07167965984469596,0.029069767441860465,2684,83,155,2
0.33,0.01904761904761905,0.5836243350313868,0.06362848745551496,0.03773584905660377,0.012738853503184714,0.9815684857246115,0.4971536696138981,0.07167965984469596,0.018125854993160054,2716,51,155,2
0.335,0.0213903743315508,0.5836243350313868,0.06362848745551496,0.06666666666666667,0.012738853503184714,0.989880737260571,0.5013097953818779,0.07167965984469596,0.010259917920656635,2739,28,155,2
0.33999999999999997,0.022988505747126436,0.5836243350313868,0.06362848745551496,0.11764705882352941,0.012738853503184714,0.9945789663895916,0.5036589099463882,0.07167965984469596,0.005813953488372093,2752,15,155,2
