Metodo,Average_Precision,AUC_ROC,Brier
Constante train,0.15011166005439527,0.5,0.12753198477059427
Random Forest ajustado,0.25519129781625294,0.6956162903880997,0.21807465897364472
Tasa localidad,0.1995923461587541,0.6240626184108052,0.12424511666962308
Tasa localidad-franja,0.24145334731249588,0.6851743561861218,0.12090982738669298
Tasa localidad-franja-dia,0.2502736647197003,0.6941799743926537,0.12055062521708941
