Escenario,Score_Medio,Brier,AUC_ROC,Average_Precision
Random Forest,0.4740481366039936,0.23039722749247074,0.6853491848946648,0.303809579863017
Constante prevalencia train,0.17050246440306682,0.15435678122821342,0.5,0.19011627906976744
Constante prevalencia test (referencia retrospectiva),0.19011627906976744,0.15397207950243372,0.5,0.19011627906976744
