Variable,Caida_AP_Media,Desviacion
Localidad,0.08219663563865466,0.0020195221808433214
Franja_Horaria,0.048222438296604574,0.009252626547216779
Dia_Semana,0.01801142997129751,0.0008650005309358478
Accidentes_Prom_30d,0.0117137368056656,0.004113034759091596
Es_Festivo,0.007091356400498887,0.0022567744983405694
Es_Fin_de_Semana,0.00241465598715912,0.0015839524257851116
Accidentes_Prom_7d,0.0008779504216142967,0.00358679199906607
Sin_Historial_Accidentes_Prom_7d,0.0,0.0
Sin_Historial_Accidentes_Prom_30d,0.0,0.0
Sin_Historial_Accidentes_Semana_Anterior,0.0,0.0
Accidentes_Semana_Anterior,-0.0005097910369823248,0.000430898565259393
Mes,-0.0007372992240093357,0.0011765857972898112
