Umbral,Average_Precision,AUC_ROC,F1,Precision,Recall,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.05,0.26471725698213616,0.7002153587720172,0.2724081150775158,0.15769216934642638,0.9995440036479708,0.5284279691893272,0.21807197426468858,4271,70251,6,13152
0.055,0.26471725698213616,0.7002153587720172,0.27264434539234994,0.15785241021701554,0.9994680042559659,0.5289938180212762,0.21807197426468858,4361,70161,7,13151
0.06,0.26471725698213616,0.7002153587720172,0.2727970461334218,0.15795479113118258,0.9994680042559659,0.5293561271380471,0.21807197426468858,4415,70107,7,13151
0.065,0.26471725698213616,0.7002153587720172,0.27287535925130474,0.1580092041863427,0.9993920048639611,0.5295462479970485,0.21807197426468858,4449,70073,8,13150
0.07,0.26471725698213616,0.7002153587720172,0.27304817275747506,0.15812510521632475,0.9993920048639611,0.5299555231104379,0.21807197426468858,4510,70012,8,13150
0.075,0.26471725698213616,0.7002153587720172,0.2732004280119262,0.15822914285026654,0.9993160054719562,0.5303200890997365,0.21807197426468858,4570,69952,9,13149
0.08,0.26471725698213616,0.7002153587720172,0.27331968363179066,0.15830915373409263,0.9993160054719562,0.5306018850794472,0.21807197426468858,4612,69910,9,13149
0.08499999999999999,0.26471725698213616,0.7002153587720172,0.27336140132023495,0.15833905367486784,0.9992400060799513,0.5307047833733001,0.21807197426468858,4633,69889,10,13148
0.09,0.26471725698213616,0.7002153587720172,0.27353201227440577,0.15845354736854791,0.9992400060799513,0.531107349058601,0.21807197426468858,4693,69829,10,13148
0.095,0.26471725698213616,0.7002153587720172,0.27369429005599616,0.15856246985045827,0.9992400060799513,0.531489786459637,0.21807197426468858,4750,69772,10,13148
0.09999999999999999,0.26471725698213616,0.7002153587720172,0.2738938421798183,0.15869643934821967,0.9992400060799513,0.5319594464258215,0.21807197426468858,4820,69702,10,13148
0.105,0.26471725698213616,0.7002153587720172,0.2740785523682455,0.15882239242310758,0.9991640066879465,0.5323978161240919,0.21807197426468858,4891,69631,11,13147
0.10999999999999999,0.26471725698213616,0.7002153587720172,0.2742807068789251,0.15896009673518743,0.9990880072959416,0.5328764423908924,0.21807197426468858,4968,69554,12,13146
0.11499999999999999,0.26471725698213616,0.7002153587720172,0.27444962891053143,0.1590735833303082,0.9990880072959416,0.533272298648105,0.21807197426468858,5027,69495,12,13146
0.12,0.26471725698213616,0.7002153587720172,0.2745642707212899,0.1591506156099805,0.9990880072959416,0.533540675771639,0.21807197426468858,5067,69455,12,13146
0.12499999999999999,0.26471725698213616,0.7002153587720172,0.2747786824419662,0.1592966468328506,0.9990120079039367,0.5340461397507928,0.21807197426468858,5148,69374,13,13145
0.13,0.26471725698213616,0.7002153587720172,0.27497620317779103,0.1594313647004597,0.9989360085119319,0.5345113471614167,0.21807197426468858,5223,69299,14,13144
0.135,0.26471725698213616,0.7002153587720172,0.2752439586212673,0.15961141469338191,0.9989360085119319,0.5351353239736332,0.21807197426468858,5316,69206,14,13144
0.13999999999999999,0.26471725698213616,0.7002153587720172,0.27541334003897655,0.1597272859851247,0.998860009119927,0.5355334371033735,0.21807197426468858,5381,69141,15,13143
0.145,0.26471725698213616,0.7002153587720172,0.27557205478302815,0.15984184914841848,0.9985560115519075,0.5359181925664318,0.21807197426468858,5461,69061,19,13139
0.14999999999999997,0.26471725698213616,0.7002153587720172,0.27581137979189196,0.16001267041093553,0.9981760145918832,0.5364930688884915,0.21807197426468858,5575,68947,24,13134
0.15499999999999997,0.26471725698213616,0.7002153587720172,0.2760114391454285,0.1601630182785465,0.9975680194558444,0.5369874932629857,0.21807197426468858,5694,68828,32,13126
0.15999999999999998,0.26471725698213616,0.7002153587720172,0.276310802274163,0.1603725159492557,0.9972640218878249,0.5376943012742847,0.21807197426468858,5822,68700,36,13122
0.16499999999999998,0.26471725698213616,0.7002153587720172,0.27655357105202116,0.16054989716971893,0.9967320261437909,0.5382804007694881,0.21807197426468858,5949,68573,43,13115
0.16999999999999998,0.26471725698213616,0.7002153587720172,0.2768678388510481,0.16077363650857893,0.9962760297917617,0.5390252696662842,0.21807197426468858,6094,68428,49,13109
0.175,0.26471725698213616,0.7002153587720172,0.27724762489155963,0.16104173836094587,0.9958200334397325,0.539917745981024,0.21807197426468858,6261,68261,55,13103
0.18,0.26471725698213616,0.7002153587720172,0.2776329454653356,0.16130978769518742,0.995516035871713,0.5408124179787969,0.21807197426468858,6417,68105,59,13099
0.185,0.26471725698213616,0.7002153587720172,0.2781105305636974,0.16164234748043355,0.9951360389116887,0.5419173391198362,0.21807197426468858,6610,67912,64,13094
0.19,0.26471725698213616,0.7002153587720172,0.27857667457876084,0.16197348714584545,0.9945280437756497,0.5430021931661051,0.21807197426468858,6817,67705,72,13086
0.195,0.26471725698213616,0.7002153587720172,0.27913727415344225,0.16236886212676144,0.9939200486396109,0.544295039483113,0.21807197426468858,7055,67467,80,13078
0.19999999999999996,0.26471725698213616,0.7002153587720172,0.27962972871742736,0.16272871075018372,0.9929320565435477,0.545444853316727,0.21807197426468858,7300,67222,93,13065
0.20499999999999996,0.26471725698213616,0.7002153587720172,0.2802257946813762,0.16315105468359492,0.9922480620155039,0.546807050787146,0.21807197426468858,7554,66968,102,13056
0.20999999999999996,0.26471725698213616,0.7002153587720172,0.28077386588620123,0.16354132718293263,0.9915640674874601,0.5480551879800629,0.21807197426468858,7791,66731,111,13047
0.21499999999999997,0.26471725698213616,0.7002153587720172,0.28134781013232024,0.16395793499043976,0.9905760753913969,0.5493660280877974,0.21807197426468858,8060,66462,124,13034
0.21999999999999997,0.26471725698213616,0.7002153587720172,0.2820540587368968,0.1644608895511833,0.9897400820793434,0.5509541504301873,0.21807197426468858,8359,66163,135,13023
0.22499999999999998,0.26471725698213616,0.7002153587720172,0.2826552462526767,0.16491419439124314,0.9881440948472412,0.5523300115147615,0.21807197426468858,8683,65839,156,13002
0.22999999999999998,0.26471725698213616,0.7002153587720172,0.28325496656229887,0.1653652633590217,0.986624107007144,0.5536901968706314,0.21807197426468858,8999,65523,176,12982
0.235,0.26471725698213616,0.7002153587720172,0.28405917717013984,0.16593953506224332,0.9857121143030856,0.5554617306439343,0.21807197426468858,9331,65191,188,12970
0.24,0.26471725698213616,0.7002153587720172,0.2845828062262802,0.1663729790216986,0.9830521355829154,0.5566746145293338,0.21807197426468858,9710,64812,223,12935
0.245,0.26471725698213616,0.7002153587720172,0.2854521741052678,0.1670158828702985,0.9813801489588083,0.5585827773054153,0.21807197426468858,10119,64403,245,12913
0.24999999999999994,0.26471725698213616,0.7002153587720172,0.28648240312833273,0.1677639282833277,0.9799361605107159,0.5608062220121546,0.21807197426468858,10558,63964,264,12894
0.25499999999999995,0.26471725698213616,0.7002153587720172,0.2874204710347137,0.16845038727234665,0.9784921720626235,0.5628149650200668,0.21807197426468858,10965,63557,283,12875
0.25999999999999995,0.26471725698213616,0.7002153587720172,0.2883072884531248,0.16911677612097442,0.9765921872625019,0.5647097701294662,0.21807197426468858,11389,63133,308,12850
0.26499999999999996,0.26471725698213616,0.7002153587720172,0.2891859874767304,0.16980007154497395,0.9740082079343365,0.5665846305230846,0.21807197426468858,11861,62661,342,12816
0.26999999999999996,0.26471725698213616,0.7002153587720172,0.2899694876419278,0.17041984987267175,0.9714242286061712,0.5682447892178758,0.21807197426468858,12301,62221,376,12782
0.27499999999999997,0.26471725698213616,0.7002153587720172,0.29080579101685056,0.17108530773877442,0.9686122511019912,0.5699989410953986,0.21807197426468858,12772,61750,413,12745
0.27999999999999997,0.26471725698213616,0.7002153587720172,0.2919527034783607,0.17194937256598875,0.9664082687338501,0.5723455959487398,0.21807197426468858,13286,61236,442,12716
0.285,0.26471725698213616,0.7002153587720172,0.2932735633246297,0.1729249550384217,0.9645842833257334,0.5750030189876836,0.21807197426468858,13818,60704,466,12692
0.29,0.26471725698213616,0.7002153587720172,0.2940902637152899,0.17363401495162709,0.9602523179814562,0.5766681197539927,0.21807197426468858,14389,60133,523,12635
0.295,0.26471725698213616,0.7002153587720172,0.29528251037004055,0.17455391776570986,0.957592339261286,0.5790216064144116,0.21807197426468858,14938,59584,558,12600
0.3,0.26471725698213616,0.7002153587720172,0.29642043644002786,0.1754572254900591,0.9544003647970816,0.5812432837645803,0.21807197426468858,15507,59015,600,12558
0.30499999999999994,0.26471725698213616,0.7002153587720172,0.29744223931888175,0.17630640409365794,0.9505243958048336,0.5832168958439643,0.21807197426468858,16090,58432,651,12507
0.30999999999999994,0.26471725698213616,0.7002153587720172,0.29860437256663674,0.17724021218197591,0.9471804225566195,0.5854229586549233,0.21807197426468858,16668,57854,695,12463
0.31499999999999995,0.26471725698213616,0.7002153587720172,0.29997463369852756,0.17833086788550748,0.9436844505243958,0.587982425471532,0.21807197426468858,17310,57212,741,12417
0.31999999999999995,0.26471725698213616,0.7002153587720172,0.3014312686521713,0.17948271610310865,0.9403404772761818,0.5906581482486757,0.21807197426468858,17958,56564,785,12373
0.32499999999999996,0.26471725698213616,0.7002153587720172,0.3025294695481336,0.1804135789812835,0.9362365101079191,0.5926385309456426,0.21807197426468858,18559,55963,839,12319
0.32999999999999996,0.26471725698213616,0.7002153587720172,0.3038886756713258,0.18151297788952156,0.9327405380756953,0.5950570997723958,0.21807197426468858,19180,55342,885,12273
0.33499999999999996,0.26471725698213616,0.7002153587720172,0.30529182490505696,0.18267304529825085,0.9286365709074328,0.5975071424355473,0.21807197426468858,19851,54671,939,12219
0.33999999999999997,0.26471725698213616,0.7002153587720172,0.3068797741195452,0.18394886363636365,0.925140598875209,0.600241054382453,0.21807197426468858,20519,54003,985,12173
0.3449999999999999,0.26471725698213616,0.7002153587720172,0.30830693283458654,0.1851495285685906,0.9208086335309318,0.6026374828103922,0.21807197426468858,21199,53323,1042,12116
0.3499999999999999,0.26471725698213616,0.7002153587720172,0.3099231935061265,0.1864760432766615,0.9169326645386837,0.6053155848390528,0.21807197426468858,21887,52635,1093,12065
0.3549999999999999,0.26471725698213616,0.7002153587720172,0.3117149382331569,0.1879479235126592,0.912828697370421,0.6082285780403003,0.21807197426468858,22627,51895,1147,12011
0.35999999999999993,0.26471725698213616,0.7002153587720172,0.31325206449075893,0.18927010074130393,0.9081167350661195,0.6106497096870545,0.21807197426468858,23339,51183,1209,11949
0.36499999999999994,0.26471725698213616,0.7002153587720172,0.3149433202669774,0.19070147865413606,0.9037087703298373,0.6132765155425253,0.21807197426468858,24059,50463,1267,11891
0.36999999999999994,0.26471725698213616,0.7002153587720172,0.3166028336502665,0.19216138890695103,0.8983888128894969,0.6157693775942077,0.21807197426468858,24827,49695,1337,11821
0.37499999999999994,0.26471725698213616,0.7002153587720172,0.31804082517236243,0.1935090408610658,0.892232862137103,0.6178308241336866,0.21807197426468858,25593,48929,1418,11740
0.37999999999999995,0.26471725698213616,0.7002153587720172,0.3198564658832553,0.1950848703555199,0.8874449004407965,0.6204689143517956,0.21807197426468858,26343,48179,1481,11677
0.38499999999999995,0.26471725698213616,0.7002153587720172,0.3214117516691138,0.19652415475303206,0.8817449460404316,0.6226174610774338,0.21807197426468858,27088,47434,1556,11602
0.38999999999999996,0.26471725698213616,0.7002153587720172,0.3229601411725162,0.19796030492411235,0.8762729898160815,0.6247122711888706,0.21807197426468858,27808,46714,1628,11530
