Candidato,Train_Hasta,Validacion,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,Average_Precision,AUC_ROC,F1,Precision,Recall,Balanced_Accuracy,Brier,TN,FP,FN,TP
0,2019,2020,200,12.0,20,sqrt,balanced,0.17537067934195816,0.6812433832050788,0.24994181987433092,0.15148095909732018,0.714095744680851,0.6280588345815948,0.22328902211654894,14240,12032,860,2148
0,2020,2021,200,12.0,20,sqrt,balanced,0.27088774537108407,0.6914406063994295,0.34653120175307534,0.22500323373431638,0.7535196014728178,0.6330344620877493,0.22650021883596247,12600,11983,1138,3479
0,2021,2022,200,12.0,20,sqrt,balanced,0.3015471448158192,0.6853935979951846,0.3913851734300612,0.2612274543033531,0.7800469907825772,0.6321538879209713,0.23105571924643026,11461,12206,1217,4316
1,2019,2020,300,8.0,20,sqrt,balanced,0.165584246429218,0.6648641521006913,0.23944742900997698,0.14336352894840487,0.726063829787234,0.6146686384015342,0.22743550920968436,13222,13050,824,2184
1,2020,2021,300,8.0,20,sqrt,balanced,0.2649640491964926,0.6799652335678634,0.3379395787667969,0.21662899382980022,0.7680311890838206,0.623205278469828,0.23086829216317842,11760,12823,1071,3546
1,2021,2022,300,8.0,20,sqrt,balanced,0.2910218529323819,0.6708986221414756,0.3795221843003413,0.24839448260456803,0.8039038496294958,0.6176108591959538,0.23545120178690668,10208,13459,1085,4448
2,2019,2020,300,16.0,20,sqrt,balanced,0.17909384983568924,0.6854645858101498,0.25916442890151753,0.15955401768550556,0.6898271276595744,0.6368974249747323,0.2205672800336876,15342,10930,933,2075
2,2020,2021,300,16.0,20,sqrt,balanced,0.27458242015473294,0.698036138611842,0.3582137331270341,0.23764689225541555,0.7270955165692008,0.644514279864554,0.2224326417412,13814,10769,1260,3357
2,2021,2022,300,16.0,20,sqrt,balanced,0.30685355822828225,0.6922907906086033,0.4008280377431157,0.27318065489861537,0.752394722573649,0.6422006570150537,0.22726689111159337,12591,11076,1370,4163
3,2019,2020,300,,20,sqrt,balanced,0.18210101336245058,0.6889305576420652,0.27022932304937675,0.17041605142013377,0.6522606382978723,0.6443588514266463,0.2151322179576952,16721,9551,1046,1962
3,2020,2021,300,,20,sqrt,balanced,0.2757492248492203,0.7020401135646945,0.36773400456594274,0.2519653457404139,0.6803118908382066,0.6504923567602741,0.21633384435552197,15258,9325,1476,3141
3,2021,2022,300,,20,sqrt,balanced,0.307723655237088,0.6958781999575394,0.4069304857621441,0.2864195711443519,0.7025121995300921,0.6466674319998034,0.22275791460771696,13983,9684,1646,3887
4,2019,2020,300,12.0,10,sqrt,balanced,0.173949888661182,0.6788751868747894,0.24777643885924142,0.14973299119217698,0.7177526595744681,0.6255480715655533,0.22375591571472694,14012,12260,849,2159
4,2020,2021,300,12.0,10,sqrt,balanced,0.2727666583384367,0.6921397359328959,0.3472194538568866,0.225487023493625,0.7546025557721464,0.6339013673788121,0.22580538003532,12616,11967,1133,3484
4,2021,2022,300,12.0,10,sqrt,balanced,0.30118267488521044,0.6852218104121062,0.3923745393329997,0.2621914143256719,0.7793240556660039,0.6333135256992292,0.23048414700664238,11533,12134,1221,4312
5,2019,2020,300,12.0,40,sqrt,balanced,0.1738277223558215,0.6767679294010126,0.2469583528310716,0.14984383872799545,0.7017952127659575,0.6229553104024672,0.22380380541247993,14295,11977,897,2111
5,2020,2021,300,12.0,40,sqrt,balanced,0.2703007031933675,0.691024059083287,0.3451761557900996,0.22378565921356977,0.7543859649122807,0.6314743964414147,0.22709739144612454,12502,12081,1134,3483
5,2021,2022,300,12.0,40,sqrt,balanced,0.3020140661078164,0.6853727235377001,0.39188759037788184,0.26181796087009357,0.778781854328574,0.6327255280854008,0.2314183094881864,11518,12149,1224,4309
6,2019,2020,300,12.0,20,0.5,balanced,0.16906246843084224,0.6733856007406964,0.24632806368426954,0.14814565070802427,0.7303856382978723,0.624765748503382,0.2280864882316047,13639,12633,811,2197
6,2020,2021,300,12.0,20,0.5,balanced,0.2656796374246448,0.684593615396959,0.34285432391100584,0.22198799029002173,0.752653238033355,0.6286147856358859,0.22690184590331208,12404,12179,1142,3475
6,2021,2022,300,12.0,20,0.5,balanced,0.2999793345695073,0.684334403509151,0.39041559496412614,0.26016357950445035,0.7818543285740105,0.6310294163679618,0.2306646733647222,11365,12302,1207,4326
7,2019,2020,300,12.0,20,sqrt,balanced_subsample,0.17402107713757167,0.6786629407451019,0.24975083543413262,0.15161221439248346,0.7081117021276596,0.6272173918677275,0.22123685441587568,14353,11919,878,2130
7,2020,2021,300,12.0,20,sqrt,balanced_subsample,0.27088474356407544,0.6910425745489343,0.3473120452708165,0.22649093904448106,0.7444227853584579,0.6334691724457342,0.22419853342509388,12845,11738,1180,3437
7,2021,2022,300,12.0,20,sqrt,balanced_subsample,0.3006933908069742,0.6845215977935191,0.3924458774758176,0.2633368362489955,0.7699258991505512,0.6331988899141441,0.22925851974877406,11750,11917,1273,4260
