Candidato,AP_Media,AP_Std,AUC_Media,F1_Medio,Recall_Medio,Brier_Medio,n_estimators,max_depth,min_samples_leaf,max_features,class_weight
3,0.25519129781625294,0.06528578184268345,0.6956162903880997,0.3482979377924879,0.6783615762220571,0.21807465897364472,300,,20,sqrt,balanced
2,0.2535099427395681,0.06643547810055686,0.6919305050101984,0.3394020665905558,0.7231057889341415,0.22342227096216036,300,16.0,20,sqrt,balanced
4,0.2492997406282764,0.06678373786105349,0.6854122444065972,0.3291234773497092,0.7505597570042061,0.22668181425222977,300,12.0,10,sqrt,balanced
0,0.24926852317628714,0.06580781250049351,0.686025862533231,0.3292860650191558,0.7492207789787487,0.2269483200663139,200,12.0,20,sqrt,balanced
5,0.24871416388566847,0.06676390260154268,0.6843882373406666,0.3280073663330177,0.7449876773356041,0.2274398354489303,300,12.0,40,sqrt,balanced
7,0.24853307050287377,0.06622814151904018,0.6847423710291851,0.32983625272692224,0.7408201288788896,0.2248979691965812,300,12.0,20,sqrt,balanced_subsample
6,0.24490714680833148,0.06788540884973668,0.6807712065489354,0.3265326608531338,0.7549644016350793,0.22855100249987967,300,12.0,20,0.5,balanced
1,0.2405233828526975,0.06619409271080905,0.6719093359366767,0.3189697306923717,0.7659996228335167,0.23125166771992314,300,8.0,20,sqrt,balanced
