Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
0.05,0.2487802318870993,0.6717880832298739,0.23097925787012158,0.1420696267002217,0.9995784148397976,0.05579002901609074,0.5276842219279442,0.2170953035933165,0.9516993613138686,4230,71590,5,11855
0.055,0.24885334340921733,0.6717880832298739,0.23097925787012158,0.1421173142165266,0.9995784148397976,0.05615932471643366,0.5278688697781156,0.2170953035933165,0.9513800182481752,4258,71562,5,11855
0.06,0.24889252797547814,0.6717880832298739,0.23097925787012158,0.1421428742716002,0.9995784148397976,0.05635716169876022,0.5279677882692789,0.2170953035933165,0.9512089416058395,4273,71547,5,11855
0.065,0.24898923601995274,0.6717880832298739,0.23097925787012158,0.14220596173454086,0.9995784148397976,0.056845159588499075,0.5282117872141483,0.2170953035933165,0.9507869525547445,4310,71510,5,11855
0.07,0.2490336946475086,0.6717880832298739,0.23097925787012158,0.14223496664587032,0.9995784148397976,0.05706937483513585,0.5283238948374667,0.2170953035933165,0.9505930656934306,4327,71493,5,11855
0.075,0.24907031955795533,0.6717880832298739,0.23097925787012158,0.14225886192910456,0.9995784148397976,0.057254022685307306,0.5284162187625524,0.2170953035933165,0.9504333941605839,4341,71479,5,11855
0.08,0.24907555256744265,0.6717880832298739,0.23097925787012158,0.14226227619641915,0.9995784148397976,0.05728040094961751,0.5284294078947076,0.2170953035933165,0.9504105839416058,4343,71477,5,11855
0.08499999999999999,0.24907816915464698,0.6717880832298739,0.23097925787012158,0.14226398339153495,0.9995784148397976,0.05729359008177262,0.5284360024607851,0.2170953035933165,0.9503991788321168,4344,71476,5,11855
0.09,0.24907816915464698,0.6717880832298739,0.23097925787012158,0.14226398339153495,0.9995784148397976,0.05729359008177262,0.5284360024607851,0.2170953035933165,0.9503991788321168,4344,71476,5,11855
0.095,0.24907816915464698,0.6717880832298739,0.23097925787012158,0.14226398339153495,0.9995784148397976,0.05729359008177262,0.5284360024607851,0.2170953035933165,0.9503991788321168,4344,71476,5,11855
0.09999999999999999,0.24907816915464698,0.6717880832298739,0.23097925787012158,0.14226398339153495,0.9995784148397976,0.05729359008177262,0.5284360024607851,0.2170953035933165,0.9503991788321168,4344,71476,5,11855
0.105,0.24911480714878595,0.6717880832298739,0.23097925787012158,0.14228788842613152,0.9995784148397976,0.05747823793194408,0.5285283263858709,0.2170953035933165,0.9502395072992701,4358,71462,5,11855
0.10999999999999999,0.24915669234245122,0.6717880832298739,0.23097925787012158,0.14231521830470223,0.9995784148397976,0.05768926404642574,0.5286338394431117,0.2170953035933165,0.9500570255474453,4374,71446,5,11855
0.11499999999999999,0.2492012107962667,0.6717880832298739,0.23097925787012158,0.14234426780654147,0.9995784148397976,0.057913479293062516,0.5287459470664301,0.2170953035933165,0.9498631386861314,4391,71429,5,11855
0.12,0.24930334290251008,0.6717880832298739,0.23097925787012158,0.142412628999123,0.9994940978077572,0.058520179372197306,0.5290071385899773,0.2170953035933165,0.949327098540146,4437,71383,6,11854
0.12499999999999999,0.24947639846340053,0.6717880832298739,0.23097925787012158,0.14252901208586374,0.9993254637436763,0.059575309944605644,0.5294503868441409,0.2170953035933165,0.9483918795620438,4517,71303,8,11852
0.13,0.2495104541721938,0.6717880832298739,0.23097925787012158,0.1425546760339725,0.9991568296795953,0.059931416512793455,0.5295441230961944,0.2170953035933165,0.9480611313868613,4544,71276,10,11850
0.135,0.24966290241024777,0.6717880832298739,0.23097925787012158,0.142654211007849,0.9991568296795953,0.0606963861777895,0.5299266079286924,0.2170953035933165,0.9473996350364964,4602,71218,10,11850
0.13999999999999999,0.2497997386061807,0.6717880832298739,0.23097925787012158,0.14274356750505926,0.9991568296795953,0.06138222104985492,0.5302695253647252,0.2170953035933165,0.9468065693430657,4654,71166,10,11850
0.145,0.2499156402901974,0.6717880832298739,0.23097925787012158,0.14281926433013548,0.9991568296795953,0.061962542864679504,0.5305596862721373,0.2170953035933165,0.9463047445255475,4698,71122,10,11850
0.14999999999999997,0.2500923414628998,0.6717880832298739,0.23097925787012158,0.14293641506930288,0.9990725126475548,0.06293853864415722,0.531005525645856,0.2170953035933165,0.9454493613138686,4772,71048,11,11849
0.15499999999999997,0.2502138263835359,0.6717880832298739,0.23097925787012158,0.14301751505860483,0.9989881956155143,0.06363756264837774,0.531312879131946,0.2170953035933165,0.9448334854014598,4825,70995,12,11848
0.15999999999999998,0.2503195816385822,0.6717880832298739,0.23097925787012158,0.143088350745818,0.9989038785834738,0.06425745185966764,0.5315806652215708,0.2170953035933165,0.9442860401459854,4872,70948,13,11847
0.16499999999999998,0.25043073833306906,0.6717880832298739,0.23097925787012158,0.14316272886579248,0.9988195615514334,0.06490371933526774,0.5318616404433506,0.2170953035933165,0.9437157846715328,4921,70899,14,11846
0.16999999999999998,0.25055530875166593,0.6717880832298739,0.23097925787012158,0.14324762342468736,0.9986509274873524,0.0657082563967291,0.5321795919420408,0.2170953035933165,0.9429972627737226,4982,70838,16,11844
0.175,0.2507092348731846,0.6717880832298739,0.23097925787012158,0.143351733488282,0.9984822934232715,0.06665787391189659,0.5325700836675841,0.2170953035933165,0.9421532846715328,5054,70766,18,11842
0.18,0.25081830026588137,0.6717880832298739,0.23097925787012158,0.1434282737482282,0.9982293423271501,0.06747560010551305,0.5328524712163316,0.2170953035933165,0.9414119525547445,5116,70704,21,11839
0.185,0.2509673384147311,0.6717880832298739,0.23097925787012158,0.14352924058153776,0.9980607082630691,0.06839883935637035,0.5332297738097197,0.2170953035933165,0.9405907846715329,5186,70634,23,11837
0.19,0.25110604211978144,0.6717880832298739,0.23097925787012158,0.14362521997694036,0.9978077571669477,0.06936164600369296,0.5335847015853203,0.2170953035933165,0.939723996350365,5259,70561,26,11834
0.195,0.2513035628949185,0.6717880832298739,0.23097925787012158,0.143757973391653,0.9976391231028667,0.07052228963334213,0.5340807063681045,0.2170953035933165,0.9386975364963503,5347,70473,28,11832
0.19999999999999996,0.251368094443677,0.6717880832298739,0.23097925787012158,0.1438072195406631,0.9973018549747049,0.07120812450540755,0.5342549897400563,0.2170953035933165,0.9380588503649635,5399,70421,32,11828
