Escenario,Observaciones,Positivos,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Todas las localidades,58480,3688,0.19726421886249101,0.7052867198973582,0.13290793833508052,0.1476293103448276,0.29718004338394793,0.8845086873996204,0.5908443653917842,0.1264132410287857,0.12694938440492476,48464,6328,2592,1096
Sin Sumapaz,55556,3686,0.1972997299729973,0.6891412606393901,0.1329501616498996,0.1476293103448276,0.29734129137276183,0.8780026990553307,0.5876719952140462,0.1330038458108902,0.13363093095255238,45542,6328,2590,1096
