Metrica,Global,Macro_No_Ponderado,Localidades_Validas
F1,0.19726421886249101,0.15243234096830904,20
Precision,0.1476293103448276,0.12242983298555984,20
Recall,0.29718004338394793,0.2328034850660517,20
AUC_ROC,0.7052867198973582,0.631141721048665,20
Average_Precision,0.13290793833508052,0.11061774770324366,20
