Franja_Horaria,Observaciones,Positivos_Reales,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Madrugada,14620,1633,0.2746002966869952,0.6839113596615127,0.18892413990319518,0.18786648624267027,0.5101041028781383,0.7227227227227228,0.6164134128004306,0.18443739414215088,0.3032831737346101,9386,3601,800,833
Mañana,14620,673,0.09854706253948199,0.6958790394244567,0.08173237522299485,0.08571428571428572,0.11589895988112928,0.9403455940345594,0.5281222769578443,0.10485731065273285,0.06224350205198358,13115,832,595,78
Noche,14620,765,0.09212121212121212,0.6229024702627353,0.0772648515814406,0.08587570621468926,0.09934640522875816,0.9416095272464814,0.5204779662376198,0.1096666157245636,0.06053351573187415,13046,809,689,76
Tarde,14620,617,0.12030905077262694,0.6892264114276971,0.08145479260958216,0.09121338912133892,0.1766612641815235,0.9224451903163607,0.5495532272489421,0.10669160634279251,0.08173734610123119,12917,1086,508,109
