,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
XGBoost,0.19726421886249101,0.7052867198973582,0.13290793833508052,0.1476293103448276,0.29718004338394793,0.8845086873996204,0.5908443653917842,0.1264132410287857,0.12694938440492476,48464.0,6328.0,2592.0,1096.0
Regresión Logística,0.1802777535155909,0.6577399771615091,0.11280173206835523,0.13297255508310785,0.279826464208243,0.8771901007446342,0.5785082824764386,0.16148647124115534,0.13271203830369357,48063.0,6729.0,2656.0,1032.0
Random Forest,0.15508982035928143,0.6505746866714872,0.10528919817608848,0.10711331679073614,0.2809110629067245,0.8423857497444882,0.5616484063256064,0.17139617343095137,0.16538987688098494,46156.0,8636.0,2652.0,1036.0
Línea base,0.0,0.5,0.06306429548563612,0.0,0.0,1.0,0.5,0.07260884195139165,0.0,54792.0,0.0,3688.0,0.0
