Modelo,Score_Medio,Prevalencia_Test,Prevalencia_Train,Brier
Regresión Logística,0.369459294612245,0.06306429548563612,0.17934693318729464,0.16148647124115534
Random Forest,0.3859942729202386,0.06306429548563612,0.17934693318729464,0.17139617343095137
XGBoost,0.2923341989517212,0.06306429548563612,0.17934693318729464,0.1264132410287857
Línea base,0.1793469331872946,0.06306429548563612,0.17934693318729464,0.07260884195139165
