Franja_Horaria,Observaciones,Casos_Positivos,Prevalencia,F1,Precision,Recall,AUC_ROC,Average_Precision
Madrugada,14620,1633,0.11169630642954856,0.2746002966869952,0.18786648624267027,0.5101041028781383,0.6839113596615127,0.18892413990319518
Tarde,14620,617,0.04220246238030096,0.12030905077262694,0.09121338912133892,0.1766612641815235,0.6892264114276971,0.08145479260958216
Mañana,14620,673,0.046032831737346104,0.09854706253948199,0.08571428571428572,0.11589895988112928,0.6958790394244567,0.08173237522299485
Noche,14620,765,0.05232558139534884,0.09212121212121212,0.08587570621468926,0.09934640522875816,0.6229024702627353,0.0772648515814406
