Corte,Entrenamiento,Anio_Validacion,Modelo,N_Train,N_Validacion,Prevalencia_Train,Prevalencia_Validacion,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
1,2018-2019,2020,Regresión Logística,58400,29280,0.19669520547945205,0.09976092896174864,0.22324140068174775,0.6330378144899154,0.15430923138012648,0.13629483880732557,0.6165696679219446,0.56701695815471,0.5917933130383273,0.22486576066110922,0.45129781420765025,14946,11413,1120,1801
1,2018-2019,2020,Random Forest,58400,29280,0.19669520547945205,0.09976092896174864,0.2406377998829725,0.6639808714474263,0.17193430053118927,0.1530090224165194,0.563163300239644,0.6545392465571531,0.6088512733983986,0.21400438438688618,0.3671789617486339,17253,9106,1276,1645
1,2018-2019,2020,XGBoost,58400,29280,0.19669520547945205,0.09976092896174864,0.2288520744758833,0.6406045685856128,0.1508205775359568,0.14560208935733607,0.5344060253337898,0.6524906104176942,0.5934483178757419,0.21192704141139984,0.36615437158469943,17199,9160,1360,1561
2,2018-2020,2021,Regresión Logística,87680,29200,0.18818430656934307,0.16273972602739725,0.33507232629831635,0.6585727466845044,0.2642849634418468,0.23324529547705514,0.5946969696969697,0.6200098167539267,0.6073533932254482,0.22048847156235635,0.41493150684931507,15158,9290,1926,2826
2,2018-2020,2021,Random Forest,87680,29200,0.18818430656934307,0.16273972602739725,0.34976710422841933,0.6829871147530056,0.2725505963825147,0.24543679429493165,0.6083754208754208,0.6364528795811518,0.6224141502282863,0.21849370920094768,0.4033904109589041,15560,8888,1861,2891
2,2018-2020,2021,XGBoost,87680,29200,0.18818430656934307,0.16273972602739725,0.35079077002851955,0.673057946048068,0.2649415786608859,0.25346571749718994,0.5694444444444444,0.6740019633507853,0.6217232038976148,0.206223264336586,0.36561643835616436,16478,7970,2046,2706
3,2018-2021,2022,Regresión Logística,116880,29200,0.18320499657768652,0.14339041095890412,0.30035132545512616,0.639420713552812,0.2121633323238729,0.20500523194977327,0.5614998805827561,0.6355095350417783,0.5985047078122672,0.21620443301941575,0.39273972602739726,15896,9117,1836,2351
3,2018-2021,2022,Random Forest,116880,29200,0.18320499657768652,0.14339041095890412,0.3113354037267081,0.6629737824127011,0.22908041026423354,0.21350607862277043,0.5746357774062575,0.6456642545876145,0.610150015996936,0.21879628546391403,0.3859246575342466,16150,8863,1781,2406
3,2018-2021,2022,XGBoost,116880,29200,0.18320499657768652,0.14339041095890412,0.31940736785904966,0.6684390369694646,0.23802547508999833,0.22163563952949894,0.5715309290661571,0.6640147123495782,0.6177728207078677,0.2075175940990448,0.36976027397260275,16609,8404,1794,2393
