Anio,Modelo,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
2023,Regresión Logística,0.18291839557399722,0.6599253206526348,0.11617115207427273,0.13588492165425123,0.27974616604970914,0.8768171665018858,0.5782816662757975,0.16204585704702826,0.13332191780821917,23945,3364,1362,529
2023,Random Forest,0.15506607929515417,0.6479318527863318,0.10788666962553965,0.1073388900182964,0.2792173453199365,0.839210516679483,0.5592139309997097,0.17196500571798393,0.16845890410958905,22918,4391,1363,528
2023,XGBoost,0.19350232059978578,0.7005466591587252,0.135733177405371,0.14605227701428186,0.28662083553675305,0.8839576696327218,0.5852892525847374,0.12755213677883148,0.12708904109589042,24140,3169,1349,542
2024,Regresión Logística,0.17758164165931156,0.6553217265832021,0.10978803273406519,0.13004136504653568,0.27991096271563715,0.8775606738711204,0.5787358182933787,0.16092861381180124,0.13210382513661204,24118,3365,1294,503
2024,Random Forest,0.1551145038167939,0.6533495254647326,0.10338624024935103,0.10687986534820114,0.2826933778519755,0.8455408798166139,0.5641171288342947,0.17082889533049542,0.1623292349726776,23238,4245,1289,508
2024,XGBoost,0.20108892921960073,0.7100102514933551,0.13076542823553097,0.14920549420953408,0.3082915971062883,0.8850562165702435,0.5966739068382658,0.12527742981910706,0.12681010928961747,24324,3159,1243,554
