Modelo,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Original,0.19726421886249101,0.7052867198973582,0.13290793833508052,0.1476293103448276,0.29718004338394793,0.8845086873996204,0.5908443653917842,0.1264132410287857,0.12694938440492476,48464,6328,2592,1096
Experimental sin Localidad,0.13474720253090397,0.5886930748990701,0.07979447822735536,0.08594275465211867,0.31182212581344904,0.7767739816031537,0.5442980537083013,0.17542463541030884,0.22881326949384406,42561,12231,2538,1150
