,Modelo,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Umbral_0.5,Random Forest,0.15508982035928143,0.6505746866714872,0.10528919817608848,0.10711331679073614,0.2809110629067245,0.8423857497444882,0.5616484063256064,0.17139617343095137,0.16538987688098494,46156.0,8636.0,2652.0,1036.0
Umbral_temporal_0.525,Random Forest,0.1505295716562002,0.6505746866714872,0.10528919817608848,0.11502650050136083,0.21773318872017353,0.8872463133304131,0.5524897510252933,0.17139617343095137,0.11937414500683995,48614.0,6178.0,2885.0,803.0
