Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.05,0.2719584815151766,0.6915895017167712,0.2565553953059525,0.15738901519684098,0.9996200030399757,0.05508440460535144,0.5273522038226636,0.22694498129081228,4105,70417,5,13153
0.055,0.27222021006881564,0.6915895017167712,0.2565553953059525,0.1575643590450064,0.9996200030399757,0.056332358229784496,0.52797618063488,0.22694498129081228,4198,70324,5,13153
0.06,0.27234139473248303,0.6915895017167712,0.2565553953059525,0.15764556415849654,0.9996200030399757,0.056909369045382574,0.5282646860426792,0.22694498129081228,4241,70281,5,13153
0.065,0.2724626873401071,0.6915895017167712,0.2565553953059525,0.15772685301771175,0.9996200030399757,0.05748637986098065,0.5285531914504782,0.22694498129081228,4284,70238,5,13153
0.07,0.2725304325304325,0.6915895017167712,0.2565553953059525,0.15777226000695718,0.9996200030399757,0.05780843240922144,0.5287142177245986,0.22694498129081228,4308,70214,5,13153
0.075,0.2726151614073268,0.6915895017167712,0.2565553953059525,0.15782905552155704,0.9996200030399757,0.058210998094522425,0.528915500567249,0.22694498129081228,4338,70184,5,13153
0.08,0.2726575456053068,0.6915895017167712,0.2565553953059525,0.15785746861573174,0.9996200030399757,0.05841228093717291,0.5290161419885743,0.22694498129081228,4353,70169,5,13153
0.08499999999999999,0.27286213729212705,0.6915895017167712,0.2565553953059525,0.1579984381570253,0.9994680042559659,0.059552883712192375,0.5295104439840792,0.22694498129081228,4438,70084,7,13151
0.09,0.2729754133239235,0.6915895017167712,0.2565553953059525,0.15807440350982632,0.9994680042559659,0.06008963795926035,0.5297788211076131,0.22694498129081228,4478,70044,7,13151
0.095,0.2730736883637383,0.6915895017167712,0.2565553953059525,0.15814221976356838,0.9993920048639611,0.06063981106250503,0.5300159079632331,0.22694498129081228,4519,70003,8,13150
0.09999999999999999,0.2730831940016408,0.6915895017167712,0.2565553953059525,0.15815240271846995,0.9992400060799513,0.060854512761332226,0.5300472594206418,0.22694498129081228,4535,69987,10,13148
0.105,0.27323358270989195,0.6915895017167712,0.2565553953059525,0.15825329192845622,0.9992400060799513,0.0615657121386973,0.5304028591093243,0.22694498129081228,4588,69934,10,13148
0.10999999999999999,0.2733585596074681,0.6915895017167712,0.2565553953059525,0.15833714684843084,0.9992400060799513,0.062156141810472076,0.5306980739452117,0.22694498129081228,4632,69890,10,13148
0.11499999999999999,0.27356900605480533,0.6915895017167712,0.2565553953059525,0.1584783761631551,0.9992400060799513,0.06314913716754784,0.5311945716237496,0.22694498129081228,4706,69816,10,13148
0.12,0.2737484254468608,0.6915895017167712,0.2565553953059525,0.1585988106295461,0.9992400060799513,0.06399452510667991,0.5316172655933156,0.22694498129081228,4769,69753,10,13148
0.12499999999999999,0.2739908725279763,0.6915895017167712,0.2565553953059525,0.1587615919629057,0.9992400060799513,0.06513512788169937,0.5321875669808254,0.22694498129081228,4854,69668,10,13148
0.13,0.274193716567782,0.6915895017167712,0.2565553953059525,0.15889781859931112,0.9992400060799513,0.06608786667024504,0.5326639363750982,0.22694498129081228,4925,69597,10,13148
0.135,0.2742958481118298,0.6915895017167712,0.2565553953059525,0.1589683441754734,0.9991640066879465,0.06665145862966641,0.5329077326588064,0.22694498129081228,4967,69555,11,13147
0.13999999999999999,0.27444758733704216,0.6915895017167712,0.2565553953059525,0.15907028518191388,0.9991640066879465,0.06736265800703148,0.533263332347489,0.22694498129081228,5020,69502,11,13147
0.145,0.2746367804806718,0.6915895017167712,0.2565553953059525,0.15919741351125535,0.9991640066879465,0.06824830251469365,0.5337061546013201,0.22694498129081228,5086,69436,11,13147
0.14999999999999997,0.27479384190888284,0.6915895017167712,0.2565553953059525,0.15930490420620205,0.9990880072959416,0.06906685274147231,0.534077430018707,0.22694498129081228,5147,69375,12,13146
0.15499999999999997,0.27500941383205724,0.6915895017167712,0.2565553953059525,0.15944982170147734,0.9990880072959416,0.07007326695472478,0.5345806371253332,0.22694498129081228,5222,69300,12,13146
0.15999999999999998,0.2752576024126665,0.6915895017167712,0.2565553953059525,0.15962253151643227,0.998860009119927,0.07148224685327823,0.5351711279866026,0.22694498129081228,5327,69195,15,13143
0.16499999999999998,0.2754255051563679,0.6915895017167712,0.2565553953059525,0.15974130175788373,0.9986320109439124,0.0725154987788841,0.5355737548613982,0.22694498129081228,5404,69118,18,13140
0.16999999999999998,0.27566523965415934,0.6915895017167712,0.2565553953059525,0.15991040342804275,0.9983280133758929,0.07396473524596764,0.5361463743109303,0.22694498129081228,5512,69010,22,13136
0.175,0.2759185903565087,0.6915895017167712,0.2565553953059525,0.16009266597573615,0.9978720170238639,0.07564209226805507,0.5367570546459595,0.22694498129081228,5637,68885,28,13130
0.18,0.2761733421708803,0.6915895017167712,0.2565553953059525,0.16027402278638678,0.9974920200638395,0.0772389361530823,0.5373654781084609,0.22694498129081228,5756,68766,33,13125
0.185,0.2764657551562138,0.6915895017167712,0.2565553953059525,0.16047495597730385,0.9973400212798298,0.07875526690104935,0.5380476440904396,0.22694498129081228,5869,68653,35,13123
0.19,0.27678835197299007,0.6915895017167712,0.2565553953059525,0.16070422190095807,0.9968840249278006,0.08074125761520089,0.5388126412715007,0.22694498129081228,6017,68505,41,13117
0.195,0.27711327134404057,0.6915895017167712,0.2565553953059525,0.16093124861932698,0.9965800273597811,0.08256622205523201,0.5395731247075066,0.22694498129081228,6153,68369,45,13113
0.19999999999999996,0.2775060865883349,0.6915895017167712,0.2565553953059525,0.16120621802439986,0.9962000303997568,0.08478033332438743,0.5404901818620721,0.22694498129081228,6318,68204,50,13108
0.20499999999999996,0.2780307130652573,0.6915895017167712,0.2565553953059525,0.16157840851620225,0.995516035871713,0.08792034566973511,0.541718190770724,0.22694498129081228,6552,67970,59,13099
0.20999999999999996,0.2784330826747785,0.6915895017167712,0.2565553953059525,0.1618703701413537,0.9947560419516643,0.09057727919272161,0.5426666605721929,0.22694498129081228,6750,67772,69,13089
0.21499999999999997,0.2789085907428535,0.6915895017167712,0.2565553953059525,0.16221210730630417,0.9939960480316158,0.0935562652639489,0.5437761566477823,0.22694498129081228,6972,67550,79,13079
0.21999999999999997,0.2793584990330473,0.6915895017167712,0.2565553953059525,0.16252874992229752,0.9935400516795866,0.0960790102251684,0.5448095309523775,0.22694498129081228,7160,67362,85,13073
0.22499999999999998,0.27984535143992373,0.6915895017167712,0.2565553953059525,0.16287477404475473,0.9929320565435477,0.0989238077346287,0.5459279321390882,0.22694498129081228,7372,67150,93,13065
0.22999999999999998,0.28023098555266945,0.6915895017167712,0.2565553953059525,0.16315868413158685,0.9920960632314941,0.1015539035452618,0.5468249833883779,0.22694498129081228,7568,66954,104,13054
0.235,0.2807221397370516,0.6915895017167712,0.2565553953059525,0.16350829698701558,0.9914880680954552,0.1043987010547221,0.5479433845750886,0.22694498129081228,7780,66742,112,13046
