Corte,Entrenamiento,Anio_Validacion,Modelo,N_Train,N_Validacion,Prevalencia_Train,Prevalencia_Validacion,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,TN,FP,FN,TP
1,2018-2019,2020,Regresión Logística,58400,29280,0.1589041095890411,0.10273224043715846,0.23182319281852065,0.6414006354046538,0.14769324879750703,0.1376472788479521,0.7340425531914894,0.4734698538367844,0.6037562035141368,0.24341915858585228,12439,13833,800,2208
1,2018-2019,2020,Random Forest,58400,29280,0.1589041095890411,0.10273224043715846,0.24994181987433092,0.6812433832050788,0.17537067934195816,0.15148095909732018,0.714095744680851,0.5420219244823387,0.6280588345815948,0.22328902211654894,14240,12032,860,2148
1,2018-2019,2020,XGBoost,58400,29280,0.1589041095890411,0.10273224043715846,0.25077108756872735,0.654350275027859,0.15609352236283086,0.1570636653788006,0.6216755319148937,0.6179963459196103,0.619835938917252,0.22446055710315704,16236,10036,1138,1870
2,2018-2020,2021,Regresión Logística,87680,29200,0.1597057481751825,0.15811643835616437,0.3251356422088129,0.6571967042277315,0.24631570587330442,0.2122616525423729,0.694390296729478,0.51600699670504,0.605198646717259,0.23372495180540515,12685,11898,1411,3206
2,2018-2020,2021,Random Forest,87680,29200,0.1597057481751825,0.15811643835616437,0.34653120175307534,0.6914406063994295,0.27088774537108407,0.22500323373431638,0.7535196014728178,0.5125493227026807,0.6330344620877493,0.22650021883596247,12600,11983,1138,3479
2,2018-2020,2021,XGBoost,87680,29200,0.1597057481751825,0.15811643835616437,0.3513012264433144,0.6814082768897975,0.25669687362784827,0.24268474127955034,0.6359107645657354,0.6273034210633365,0.6316070928145359,0.216481015086174,15421,9162,1681,2936
3,2018-2021,2022,Regresión Logística,116880,29200,0.16575975359342915,0.18948630136986302,0.35721000188005264,0.6356254587311899,0.2716443734890077,0.24137711998983674,0.6867883607446231,0.49537330460134366,0.5910808326729834,0.2392188733044942,11724,11943,1733,3800
3,2018-2021,2022,Random Forest,116880,29200,0.16575975359342915,0.18948630136986302,0.3913851734300612,0.6853935979951846,0.3015471448158192,0.2612274543033531,0.7800469907825772,0.4842607850593654,0.6321538879209713,0.23105571924643026,11461,12206,1217,4316
3,2018-2021,2022,XGBoost,116880,29200,0.16575975359342915,0.18948630136986302,0.39490651192778853,0.6798685563629177,0.2952192110788272,0.2809847847694778,0.664196638351708,0.6026534837537499,0.633425061052729,0.22234445810317993,14263,9404,1858,3675
