Modelo,Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,TN,FP,FN,TP
Random Forest,0.5499999999999999,0.39817184643510056,0.6853491848946648,0.303809579863017,0.3010782416367155,0.5876956287101996,0.6797432540855538,0.6337194413978767,0.23039722749247069,32194,15168,4584,6534
XGBoost,0.5,0.3937350676931245,0.6800265740565793,0.3019954537039483,0.27930099427538413,0.6670264436049649,0.5959630083189055,0.6314947259619352,0.22275738418102264,28226,19136,3702,7416
Regresión Logística,0.5,0.36326740063444674,0.6410583797067819,0.27019719289881144,0.24522894753416893,0.7003957546321281,0.4939614036569402,0.5971785791445341,0.2382585633719123,23395,23967,3331,7787
