Anio,Siniestros,Dias,Promedio_Diario,Ratio_vs_2018_2019
2018,13115,365,35.93150684931507,1.0094673645320196
2019,12869,365,35.25753424657534,0.9905326354679801
2020,8940,366,24.42622950819672,0.6862356658321892
2021,11468,365,31.41917808219178,0.8826970443349753
2022,12896,365,35.33150684931507,0.9926108374384236
2023,12999,365,35.61369863013699,1.0005387931034482
2024,12912,366,35.278688524590166,0.9911269482354841
