Fecha_Acc,Anio,Mes,Dia_Num,Dia_Semana,Es_Festivo,Nombre_Festivo,Siniestros
2018-04-23,2018,4,0,Lunes,False,,36
2018-04-24,2018,4,1,Martes,False,,49
2018-04-25,2018,4,2,Miércoles,False,,39
2018-04-26,2018,4,3,Jueves,False,,41
2018-04-27,2018,4,4,Viernes,False,,35
2018-04-28,2018,4,5,Sábado,False,,36
2018-04-29,2018,4,6,Domingo,False,,22
2018-04-30,2018,4,0,Lunes,False,,48
2018-05-01,2018,5,1,Martes,True,Día del Trabajo,30
2018-05-02,2018,5,2,Miércoles,False,,52
2018-05-03,2018,5,3,Jueves,False,,42
2018-05-04,2018,5,4,Viernes,False,,46
2018-05-05,2018,5,5,Sábado,False,,32
2018-05-06,2018,5,6,Domingo,False,,25
2018-05-07,2018,5,0,Lunes,False,,29
2018-05-08,2018,5,1,Martes,False,,42
2018-05-09,2018,5,2,Miércoles,False,,41
2018-05-10,2018,5,3,Jueves,False,,40
2018-05-11,2018,5,4,Viernes,False,,44
2018-05-12,2018,5,5,Sábado,False,,41
2018-05-13,2018,5,6,Domingo,False,,16
2018-05-14,2018,5,0,Lunes,True,Ascensión del señor (observado),19
2018-05-15,2018,5,1,Martes,False,,44
2018-05-16,2018,5,2,Miércoles,False,,44
2018-05-17,2018,5,3,Jueves,False,,35
2018-05-18,2018,5,4,Viernes,False,,42
2018-05-19,2018,5,5,Sábado,False,,26
2018-05-20,2018,5,6,Domingo,False,,35
2018-05-21,2018,5,0,Lunes,False,,38
2018-05-22,2018,5,1,Martes,False,,53
2018-05-23,2018,5,2,Miércoles,False,,32
2018-05-24,2018,5,3,Jueves,False,,52
2018-05-25,2018,5,4,Viernes,False,,44
2018-05-26,2018,5,5,Sábado,False,,42
2018-05-27,2018,5,6,Domingo,False,,26
2018-05-28,2018,5,0,Lunes,False,,35
2018-05-29,2018,5,1,Martes,False,,35
2018-05-30,2018,5,2,Miércoles,False,,33
2018-05-31,2018,5,3,Jueves,False,,38
2018-06-01,2018,6,4,Viernes,False,,56
2018-06-02,2018,6,5,Sábado,False,,46
2018-06-03,2018,6,6,Domingo,False,,24
2018-06-04,2018,6,0,Lunes,True,Corpus Christi (observado),18
2018-06-05,2018,6,1,Martes,False,,52
2018-06-06,2018,6,2,Miércoles,False,,40
2018-06-07,2018,6,3,Jueves,False,,36
2018-06-08,2018,6,4,Viernes,False,,48
2018-06-09,2018,6,5,Sábado,False,,35
2018-06-10,2018,6,6,Domingo,False,,23
2018-06-11,2018,6,0,Lunes,True,Sagrado Corazón (observado),22
2018-06-12,2018,6,1,Martes,False,,38
2018-06-13,2018,6,2,Miércoles,False,,41
2018-06-14,2018,6,3,Jueves,False,,34
2018-06-15,2018,6,4,Viernes,False,,48
2018-06-16,2018,6,5,Sábado,False,,36
2018-06-17,2018,6,6,Domingo,False,,18
2018-06-18,2018,6,0,Lunes,False,,33
2018-06-19,2018,6,1,Martes,False,,38
2018-06-20,2018,6,2,Miércoles,False,,47
2018-06-21,2018,6,3,Jueves,False,,38
2018-06-22,2018,6,4,Viernes,False,,53
2018-06-23,2018,6,5,Sábado,False,,46
2018-06-24,2018,6,6,Domingo,False,,31
2018-06-25,2018,6,0,Lunes,False,,39
2018-06-26,2018,6,1,Martes,False,,48
2018-06-27,2018,6,2,Miércoles,False,,51
2018-06-28,2018,6,3,Jueves,False,,41
2018-06-29,2018,6,4,Viernes,False,,45
2018-06-30,2018,6,5,Sábado,False,,37
2018-07-01,2018,7,6,Domingo,False,,27
2018-07-02,2018,7,0,Lunes,True,San Pedro y San Pablo (observado),16
2018-07-03,2018,7,1,Martes,False,,26
2018-07-04,2018,7,2,Miércoles,False,,39
2018-07-05,2018,7,3,Jueves,False,,44
2018-07-06,2018,7,4,Viernes,False,,36
2018-07-07,2018,7,5,Sábado,False,,52
2018-07-08,2018,7,6,Domingo,False,,27
2018-07-09,2018,7,0,Lunes,False,,47
2018-07-10,2018,7,1,Martes,False,,36
2018-07-11,2018,7,2,Miércoles,False,,45
2018-07-12,2018,7,3,Jueves,False,,31
2018-07-13,2018,7,4,Viernes,False,,31
2018-07-14,2018,7,5,Sábado,False,,38
2018-07-15,2018,7,6,Domingo,False,,21
2018-07-16,2018,7,0,Lunes,False,,40
2018-07-17,2018,7,1,Martes,False,,42
2018-07-18,2018,7,2,Miércoles,False,,42
2018-07-19,2018,7,3,Jueves,False,,42
2018-07-20,2018,7,4,Viernes,True,Día de la Independencia,31
2018-07-21,2018,7,5,Sábado,False,,41
2018-07-22,2018,7,6,Domingo,False,,23
2018-07-23,2018,7,0,Lunes,False,,43
2018-07-24,2018,7,1,Martes,False,,26
2018-07-25,2018,7,2,Miércoles,False,,33
2018-07-26,2018,7,3,Jueves,False,,35
2018-07-27,2018,7,4,Viernes,False,,40
2018-07-28,2018,7,5,Sábado,False,,41
