Anio,Dias_Festivos,Siniestros_Observados,Siniestros_Esperados_Mismo_Dia_Semana,Ratio_Observado_Esperado
2018,18,410,696.9805522208883,0.5882517075886244
2019,17,380,625.1792591813112,0.6078256666697806
2020,18,231,469.9486535702461,0.49154306166231204
2021,18,373,588.1336534613846,0.6342095845132424
2022,18,457,633.9225936528458,0.7209082064209662
2023,18,422,660.3994871794872,0.6390071588370364
2024,18,415,646.0354141656663,0.6423796449858077
