Mes,Siniestros,Dias,Promedio_Diario
1,6057,217,27.912442396313363
2,7105,198,35.88383838383838
3,7492,217,34.525345622119815
4,6404,210,30.495238095238093
5,7141,217,32.90783410138249
6,6964,210,33.161904761904765
7,7052,217,32.49769585253456
8,7392,217,34.064516129032256
9,7528,210,35.84761904761905
10,7600,217,35.02304147465438
11,7203,210,34.3
12,7261,217,33.46082949308756
