Anio,Con Heridos,Con Muertos,Solo Daños,Total,Con_Victimas,Variacion_Solo_Danos,Variacion_Con_Victimas
2018,12614,501,23891,37006,13115,,
2019,12376,493,22130,34999,12869,-0.07370976518354189,-0.018757148303469307
2020,8570,370,13783,22723,8940,-0.3771802982376864,-0.3053073276866889
2021,11006,462,17387,28855,11468,0.2614815352245521,0.28277404921700233
2022,12355,541,12557,25453,12896,-0.27779375395410366,0.12452040460411573
2023,12454,545,1115,14114,12999,-0.9112049056303257,0.007986972704714601
2024,12343,569,1037,13949,12912,-0.06995515695067267,-0.006692822524809627
