Repeticion,Average_Precision,AUC_ROC,Brier
0,0.0001942050065314449,-0.0012651090236202034,0.07732030614747096
1,0.002520053735961869,-8.022717602296225e-05,0.07825427380703731
2,0.0009143244938602524,0.00012965626253247375,0.07825211252838424
3,0.001344180857492494,0.0012868993738658352,0.07643523320626924
4,0.00477535029135473,0.0037805818556742032,0.07662045589084143
5,0.0011308886433237242,-0.0010396573919758678,0.07785962388749038
6,0.003616320640271009,0.0011781927086191857,0.07952541667302282
7,0.0006580151877493834,-0.0008777317751413882,0.07766066444452852
8,-0.0005307018411155884,-0.0001566472775527128,0.07847559613341226
9,-2.8046125138625477e-05,-0.001574835549804754,0.07725875127173187
10,0.0013412225782061804,0.0011834248223417942,0.07758512065900189
11,0.0015514338812663842,-0.0005006905853077726,0.07748979070206735
12,0.003799247881018375,0.0009201564331710044,0.07765171143128943
13,-0.0008765210637033394,-0.000972378498641735,0.0769194198757806
14,0.002979929431385697,1.988001354502611e-05,0.07913843972060067
15,0.0046305237966711155,0.002472848532772298,0.07789314121193633
16,0.00247917068643011,0.00038622861110559903,0.07874233010837578
17,-0.0009127851598472181,-0.00043032668695486276,0.0793971282628814
18,0.0015342618465002955,0.0006215094120203268,0.07684487214467053
19,0.0054814203615211055,0.0019821271393614115,0.07856803534739096
20,0.0002621487125860078,0.0014937833454472527,0.07823320071324735
21,-0.0013742413341852888,-0.0005588622964143308,0.07873864182121126
22,0.0028723885924712977,0.0020151033899591386,0.07626487864070666
23,0.0009457062512141512,-0.0003259532381725272,0.07557308995428355
24,-0.0007532240118056088,-0.0005961512457814955,0.0786046927642271
25,0.0008244404583763743,0.0004351055023912309,0.07719134172584113
26,-0.0019404553605160135,-0.001889926181520396,0.07974541210465882
27,0.002336852653017474,-0.0016927522702233633,0.07970052681067533
28,0.002137128252315712,-0.0013522468956791434,0.07721050748575542
29,0.002217686480797121,0.00241334505921853,0.08000818046003061
30,0.003196697412149785,0.00129383928423088,0.07803433287211103
31,0.0008107255217705833,-0.00042911423720881636,0.07922598398445238
32,0.0025119215178706633,0.0007654318619867428,0.0803436050793789
33,0.0012372145853689065,0.0018107898538661793,0.07658357922159542
34,-0.0020606957157120465,-0.00018002986702703172,0.07831009219196564
35,0.0011794510017384408,0.00028247139341008864,0.0783929676792346
