Franja_Horaria,Observaciones,Positivos,Prevalencia,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP,Volumen_Historico_2018_2022,Score_Medio
Noche,14620,3292,0.22517099863201095,0.4305799648506151,0.6645990794324197,0.3284260264877952,0.30291790306627103,0.744228432563791,0.502295197740113,0.623261815151952,0.2485599274339607,0.5532147742818058,5690,5638,842,2450,15606,0.5033912827873563
Mañana,14620,2885,0.19733242134062928,0.42618741976893454,0.70578854675647,0.3266293142221288,0.29798398232532447,0.7480069324090122,0.5667660843630166,0.6573865083860144,0.23050117656573768,0.49534883720930234,6651,5084,727,2158,18934,0.47546975927173163
Tarde,14620,2623,0.17941176470588235,0.3957134799774394,0.6977332559089703,0.2934559450193227,0.28099967958987504,0.6686999618757148,0.6259064766191548,0.6473032192474348,0.21794395843478181,0.42694938440492475,7509,4488,869,1754,18765,0.44977559664629785
Madrugada,14620,2318,0.1585499316005472,0.3330296957551467,0.6748669415342301,0.2737407435780682,0.2882371491643015,0.3943054357204487,0.8165338969273289,0.6054196663238888,0.19134800558353662,0.21689466484268125,10045,2257,1404,914,5983,0.400909623712251
