Localidad,Franja_Horaria,Dia_Semana,Tasa,Observaciones_Train
CANDELARIA,Madrugada,Thursday,0.011494252873563218,261
CANDELARIA,Madrugada,Tuesday,0.0,261
CANDELARIA,Madrugada,Wednesday,0.01532567049808429,261
CANDELARIA,Mañana,Friday,0.04980842911877394,261
CANDELARIA,Mañana,Monday,0.04597701149425287,261
CANDELARIA,Mañana,Saturday,0.04980842911877394,261
CANDELARIA,Mañana,Sunday,0.026923076923076925,260
CANDELARIA,Mañana,Thursday,0.07662835249042145,261
CANDELARIA,Mañana,Tuesday,0.0421455938697318,261
CANDELARIA,Mañana,Wednesday,0.04597701149425287,261
CANDELARIA,Noche,Friday,0.019157088122605363,261
CANDELARIA,Noche,Monday,0.022988505747126436,261
CANDELARIA,Noche,Saturday,0.011494252873563218,261
CANDELARIA,Noche,Sunday,0.03076923076923077,260
CANDELARIA,Noche,Thursday,0.04980842911877394,261
CANDELARIA,Noche,Tuesday,0.038314176245210725,261
CANDELARIA,Noche,Wednesday,0.06896551724137931,261
CANDELARIA,Tarde,Friday,0.05363984674329502,261
CANDELARIA,Tarde,Monday,0.04597701149425287,261
CANDELARIA,Tarde,Saturday,0.05363984674329502,261
CANDELARIA,Tarde,Sunday,0.046153846153846156,260
CANDELARIA,Tarde,Thursday,0.007662835249042145,261
CANDELARIA,Tarde,Tuesday,0.06513409961685823,261
CANDELARIA,Tarde,Wednesday,0.038314176245210725,261
CHAPINERO,Madrugada,Friday,0.13026819923371646,261
CHAPINERO,Madrugada,Monday,0.04980842911877394,261
CHAPINERO,Madrugada,Saturday,0.20689655172413793,261
CHAPINERO,Madrugada,Sunday,0.17692307692307693,260
CHAPINERO,Madrugada,Thursday,0.06896551724137931,261
CHAPINERO,Madrugada,Tuesday,0.06513409961685823,261
CHAPINERO,Madrugada,Wednesday,0.07662835249042145,261
CHAPINERO,Mañana,Friday,0.34099616858237547,261
CHAPINERO,Mañana,Monday,0.3448275862068966,261
CHAPINERO,Mañana,Saturday,0.2222222222222222,261
CHAPINERO,Mañana,Sunday,0.23076923076923078,260
CHAPINERO,Mañana,Thursday,0.34099616858237547,261
CHAPINERO,Mañana,Tuesday,0.44061302681992337,261
CHAPINERO,Mañana,Wednesday,0.36398467432950193,261
CHAPINERO,Noche,Friday,0.2413793103448276,261
