Metodo,Filas,Grupos_Nuevos,Average_Precision,AUC_ROC,Brier
Constante train,58480,0,0.19011627906976744,0.5,0.15435678122821342
Tasa localidad,58480,0,0.2440420102685065,0.6219308063458661,0.14946278936460064
Tasa localidad-franja,58480,0,0.2964308673057439,0.6808992441197584,0.14498670433833047
Tasa localidad-franja-dia,58480,0,0.3086609763463467,0.6931102355490653,0.14377013021926516
Random Forest base,58480,0,0.303809579863017,0.6853491848946648,0.23039722749247069
Random Forest ajustado,58480,0,0.3098375996626644,0.6933242182043409,0.2220882670045042
