Modelo,Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Random Forest ajustado,0.5199999999999999,0.40578901871113465,0.6933242182043409,0.3098375996626644,0.2940629673038839,0.654434250764526,0.6312022296355728,0.6428182402000494,0.2220882670045042,0.42310191518467855,29895,17467,3842,7276
Random Forest base,0.5499999999999999,0.39817184643510056,0.6853491848946648,0.303809579863017,0.3010782416367155,0.5876956287101996,0.6797432540855538,0.6337194413978767,0.23039722749247069,0.3711012311901505,32194,15168,4584,6534
XGBoost,0.5,0.3937350676931245,0.6800265740565793,0.3019954537039483,0.27930099427538413,0.6670264436049649,0.5959630083189055,0.6314947259619352,0.22275738418102264,0.4540355677154583,28226,19136,3702,7416
Regresión Logística,0.5,0.36326740063444674,0.6410583797067819,0.27019719289881144,0.24522894753416893,0.7003957546321281,0.4939614036569402,0.5971785791445341,0.2382585633719123,0.5429890560875513,23395,23967,3331,7787
