Validacion,Metodo,Prevalencia,Grupos_Nuevos,Average_Precision,AUC_ROC,Brier
2020,Constante train,0.10273224043715846,0,0.10273224043715846,0.5,0.09533360609593655
2020,Tasa localidad,0.10273224043715846,0,0.13872623976234105,0.622851901628139,0.09430418644451896
2020,Tasa localidad-franja,0.10273224043715846,0,0.1730775969365056,0.6846807822258792,0.09250983868040326
2020,Tasa localidad-franja-dia,0.10273224043715846,0,0.17671330826301235,0.6911851397187686,0.09320945821435526
2020,Random Forest ajustado,0.10273224043715846,0,0.18210101336245058,0.6889305576420652,0.21513221795769522
2021,Constante train,0.15811643835616437,0,0.15811643835616437,0.5,0.13311815618342648
2021,Tasa localidad,0.15811643835616437,0,0.2176897985035044,0.6303390983964708,0.12902763917124485
2021,Tasa localidad-franja,0.15811643835616437,0,0.26102233620021653,0.6889450626002034,0.12540014506190802
2021,Tasa localidad-franja-dia,0.15811643835616437,0,0.266632681415947,0.6946180197762795,0.12508814691818793
2021,Random Forest ajustado,0.15811643835616437,0,0.2757492248492203,0.7020401135646945,0.21633384435552197
2022,Constante train,0.18948630136986302,0,0.18948630136986302,0.5,0.15414419203241983
2022,Tasa localidad,0.18948630136986302,0,0.24236100021041687,0.618996855207806,0.14940352439310547
2022,Tasa localidad-franja,0.18948630136986302,0,0.29026010880076547,0.6818972237322827,0.14481949841776764
2022,Tasa localidad-franja-dia,0.18948630136986302,0,0.30747500448014153,0.6967367636829129,0.143354270518725
2022,Random Forest ajustado,0.18948630136986302,0,0.307723655237088,0.6958781999575394,0.22275791460771696
