,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
Umbral global 0.52,0.40578901871113465,0.6933242182043409,0.3098375996626644,0.2940629673038839,0.654434250764526,0.6312022296355728,0.6428182402000494,0.2220882670045042,0.42310191518467855,29895.0,17467.0,3842.0,7276.0
Umbral global 0.155,0.3383397760088007,0.6933242182043409,0.3098375996626644,0.2037878927315897,0.9958625652095701,0.08663063215235843,0.5412465986809643,0.2220882670045042,0.9290526675786593,4103.0,43259.0,46.0,11072.0
Umbral 0.155 solo Candelaria,0.3927100767779815,0.6933242182043409,0.3098375996626644,0.2786638012291219,0.6647778377406008,0.5960474642118154,0.6304126509762081,0.2220882670045042,0.45353967168262654,28230.0,19132.0,3727.0,7391.0
